Threat ID,Date Detected,Threat Actor,Campaign Name,TTPs,Indicators,Target Sector,Confidence,Impact,Mitigation Status
APT-2024-001,2024-01-15,Lazarus Group,Operation ShadowNet,T1566.001 T1059.003,C2: 45.142.122.35,Financial,High,Critical,Monitoring Active
APT-2024-002,2024-01-15,FIN7,CarbonSpider,T1055 T1003.001,Hash: d41d8cd98f00b204e980,Retail,Medium,High,Signatures Deployed
APT-2024-003,2024-01-14,APT28,FancyBear Redux,T1078 T1021.001,Domain: evil-corp[.]tk,Government,High,Critical,Blocked at Perimeter
APT-2024-004,2024-01-14,Cobalt Group,Project Mercury,T1190 T1210,IP: 185.234.218.0/24,Banking,High,High,WAF Rules Updated
APT-2024-005,2024-01-13,APT29,CozyBear Winter,T1027 T1547.001,URL: https://bad-site[.]com/payload,Defense,Very High,Critical,Endpoint Protection Active
APT-2024-006,2024-01-13,Wizard Spider,Ryuk Evolution,T1486 T1490,Email: phishing@fake-domain,Healthcare,High,Critical,Email Filters Updated
APT-2024-007,2024-01-12,APT1,Comment Crew,T1560 T1041,Port: 4444 4445 8080,Technology,Medium,High,Firewall Rules Applied
APT-2024-008,2024-01-12,DarkHydrus,Desert Falcon,T1566.002 T1204.002,File: invoice.docm,Energy,High,High,User Training Conducted
APT-2024-009,2024-01-11,Equation Group,Project Sauron,T1195 T1200,Certificate: SHA256:abc123def456,Telecom,Very High,Critical,Supply Chain Audit
APT-2024-010,2024-01-11,APT33,Elfin Team,T1110 T1133,User-Agent: BadBot/1.0,Aviation,Medium,Medium,VPN Hardening Complete
APT-2024-011,2024-01-10,Turla,Snake Campaign,T1543.003 T1569.002,Registry: HKLM\Software\Malware,Government,High,High,Registry Monitoring Active
APT-2024-012,2024-01-10,MuddyWater,Static Kitten,T1059.001 T1105,Script: powershell -enc,Critical Infra,High,Critical,PowerShell Logging Enabled
APT-2024-013,2024-01-09,APT34,OilRig Platform,T1071.001 T1132.001,DNS: tunnel.bad-dns[.]org,Energy,Medium,High,DNS Filtering Active
APT-2024-014,2024-01-09,Carbanak,FIN7 Affiliate,T1055.012 T1574.001,DLL: malicious.dll,Financial,High,Critical,Application Control Deployed
APT-2024-015,2024-01-08,APT32,Ocean Lotus,T1547.001 T1053.005,Task: UpdateCheck,Maritime,Medium,Medium,Scheduled Tasks Audited
APT-2024-016,2024-01-08,Silence Group,Whisper Campaign,T1098 T1136.001,Account: backdoor_admin,Banking,High,High,Privileged Accounts Reviewed
APT-2024-017,2024-01-07,APT37,Reaper Unit,T1189 T1203,Exploit: CVE-2024-0001,Media,Medium,Medium,Browser Updates Forced
APT-2024-018,2024-01-07,Gorgon Group,Project Viper,T1566.001 T1059.005,Macro: AutoOpen(),Manufacturing,Low,Low,Macro Blocking Enabled
APT-2024-019,2024-01-06,APT40,Leviathan Ops,T1133 T1021.004,SSH Key: compromised_key.pub,Maritime,High,High,SSH Keys Rotated
APT-2024-020,2024-01-06,DarkHalo,SolarWinds Follow-up,T1195.002 T1553.002,Binary: tampered.exe,Technology,Very High,Critical,Code Signing Enforced